[2020-08-09 09:58:53,304] acph-aprs-logger.WARNING: ACPH APRS logger starting...
[2020-08-09 10:27:52,450] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:27:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:28:12,419] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:28:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:28:32,401] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:28:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:28:52,612] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:28:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:29:12,603] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:29:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:29:32,542] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:29:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:29:52,522] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:29:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:30:12,512] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:30:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:30:32,505] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:30:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:30:52,497] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:30:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:31:12,450] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:31:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:31:32,422] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:31:32 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:31:52,593] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:31:52 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:32:12,561] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:32:12 GMT GLIDERN2 51.68.189.96:14580
[2020-08-09 10:32:32,524] acph.class_flights_logbook.INFO: handle beacon server, raw data: # aprsc 2.1.5-g8af3cdc 9 Aug 2020 08:32:32 GMT GLIDERN2 51.68.189.96:14580
